prefix,supplier_name,domain,product_count,is_multi_brand,url_pattern_notes,search_operator,hierarchy_structure
AA,ACCO Brands,accobrands.com.au,4731,NO,,,
DS,DS (distributor),www.canon.com.au,3634,YES,,,
FX,,rapidline.com.au,2795,NO,,,
PQ,ACCO Brands,accobrands.com.au,1909,NO,,,
EV,Educational Vantage,www.teaching.com.au,1289,NO,,,
SR,,staedtler.com.au,1216,NO,,,
AD,,www.averyproducts.com.au,1128,NO,,,
AH,,aerohealthcare.com,1117,NO,,,
PP,,pilotpen.com.au,1037,NO,,,
CS,Educational Vantage,www.teaching.com.au,1006,NO,,,
BH,,www.hamelinbrands.com.au,800,NO,,,
JS,,www.torkglobal.com,769,NO,,,
GN,GN (wholesaler),www.collinsdebden.com.au,703,YES,,,
AM,Australian Merchandiser (Osmer),www.velcro.com.au,557,YES,,,
VC,,www.visionchart.com.au,538,NO,,,
TN,,www.thenotegroup.com.au,518,NO,,,
UM,Uni / Mitsubishi Pencil,uniball.com.au,450,NO,,,
WE,Weatherdon,www.weatherdon.com.au,445,NO,,,
SD,Sanford / Newell Brands,www.dymo.com.au,418,YES,,,
CD,,www.collinsdebden.com.au,396,NO,,,
BT,,balatrading.com.au,342,NO,,,
FM,,www.fellowes.com,335,NO,,,
JP,Deflecto / Manhattan / Blueprint,www.deflecto.com,313,NO,,,
AP,,www.hamelinbrands.com.au,304,NO,,,
3M,,www.post-it.com,269,NO,,,
CO,,www.colby.com.au,257,NO,,,
CU,ACCO Brands,accobrands.com.au,223,NO,,,
PH,,www.phe.com.au,222,NO,,,
DO,,dolphy.com.au,203,NO,,,
IT,,www.italplast.com.au,201,NO,,,
KC,,www.kcprofessional.com,146,NO,,,
ZN,,www.thenotegroup.com.au,108,NO,,,
ER,Educational Vantage,www.teaching.com.au,89,NO,,,
AR,,arnos.com.au,87,NO,,,
BA,,corporate.bic.com,52,NO,,,
SL,,www.brother.com.au,41,NO,,,
BR,,www.bouncerubberbands.com,36,NO,,,
GS,GS (wholesaler),spencil.com.au,27,YES,,,
BX,,www.hamelinbrands.com.au,25,NO,,,
FC,,www.faber-castell.com.au,25,NO,,,
JA,,www.jasco.com.au,25,NO,,,
MO,,,25,NO,,,
AB,,www.abldistribution.com.au,21,NO,,,
LA,Lavazza,twinings.com.au,18,YES,,,
RH,Educational Vantage,www.teaching.com.au,18,NO,,,
DU,Durasales,www.durasales.com.au,12,NO,,,
CC,Campbells Cash & Carry,www.campbells.com.au,11,YES,,,
AT,,,9,NO,,,
PE,,www.pentel.com.au,9,NO,,,
ST,,www.stylustapes.com.au,8,NO,,,
BS,,,5,NO,,,
GG,,au.whogivesacrap.org,4,NO,,,
MT,,,4,NO,,,
ZA,Educational Vantage,www.teaching.com.au,4,NO,,,
BF,,diy.bostik.com,3,NO,,,
ND,,,3,NO,,,
PB,Peacock Brothers,,3,NO,,,
#P,,,2,NO,,,
AL,,,2,NO,,,
EC,Educational Vantage,www.teaching.com.au,2,NO,,,
KP,,www.jshayes.com.au,2,NO,,,
SX,,,2,NO,,,
V9,,,2,NO,,,
13,,,1,NO,,,
21,,,1,NO,,,
FF,,,1,NO,,,
GB,,,1,NO,,,
JH,,www.jshayes.com.au,1,NO,,,
ME,,,1,NO,,,
S0,,,1,NO,,,
SE,,,1,NO,,,
